No	ID
1	1
2	2
3	73
4	109
5	145
6	181
7	217
8	253
9	289
10	325
11	361
12	397
13	433
14	469
15	505
16	541
17	577
18	613
19	649
20	685
21	721
22	757
23	793
24	829
25	865
26	901
27	937
28	973
29	1009
30	1045
31	1081
32	1117
33	1153
34	1189
35	1225
36	1261
37	1297
38	1333
39	1369
40	1405
41	1441
42	1477
43	1513
44	1549
45	1585
46	1621
47	1657
48	1693
49	1729
50	1765
51	1801
52	1837
53	1873
54	1909
55	1945
56	1981
57	2017
58	2053
59	2089
60	2125
61	2161
62	2197
63	2233
64	2269
65	2305
66	2341
67	2377
68	2413
69	2449
70	2485
71	2521
72	2557
73	2593
74	2629
75	2665
76	2701
