No	StartD	EndD	Thickness	Height	Elevation	No Seg	Offset
0	1	2	3	4	5	6	7
1	4.15	4.15	0.038	0.46	0	1	0
2	4.15	4.15	0.23	0.09	0.46	1	-0.095
3	4.15	4.15	0.25	0.13	0.55	1	-0.105
4	4.15	4.15	0.04	0.05	0.68	1	0
5	4.15	4.101	0.04	1.345	0.73	1	0
6	4.101	4.052	0.04	1.345	2.075	1	0
7	4.052	4.003	0.04	1.345	3.42	1	0
8	4.003	3.954	0.04	1.345	4.765	1	0
9	3.954	3.9045	0.026	1.345	6.11	1	0
10	3.9045	3.855	0.026	1.345	7.455	1	0
11	3.855	3.806	0.026	1.3475	8.8	1	0
12	3.806	3.757	0.026	1.3475	10.1475	1	0
13	3.757	3.708	0.026	1.3475	11.495	1	0
14	3.708	3.659	0.026	1.3475	12.8425	1	0
15	3.659	3.6095	0.026	1.3475	14.19	1	0
16	3.6095	3.56	0.026	1.3475	15.5375	1	0
17	3.56	3.511	0.026	1.3725	16.885	1	0
18	3.511	3.462	0.026	1.3725	18.2575	1	0
19	3.462	3.462	0.25	0.13	19.63	1	-0.112
20	3.462	3.462	0.25	0.13	19.76	1	-0.112
21	3.462	3.429	0.026	1.4575	19.89	1	0
22	3.429	3.396	0.026	1.4575	21.3475	1	0
23	3.396	3.363	0.024	1.4325	22.805	1	0
24	3.363	3.33	0.024	1.4325	24.2375	1	0
25	3.33	3.297	0.024	1.4325	25.67	1	0
26	3.297	3.264	0.024	1.4325	27.1025	1	0
27	3.264	3.2305	0.024	1.4325	28.535	1	0
28	3.2305	3.197	0.024	1.4325	29.9675	1	0
29	3.197	3.164	0.023	1.4325	31.4	1	0
30	3.164	3.131	0.023	1.4325	32.8325	1	0
31	3.131	3.098	0.023	1.435	34.265	1	0
32	3.098	3.065	0.023	1.435	35.7	1	0
33	3.065	3.032	0.022	1.435	37.135	1	0
34	3.032	2.999	0.022	1.435	38.57	1	0
35	2.999	2.966	0.022	1.435	40.005	1	0
36	2.966	2.933	0.022	1.435	41.44	1	0
37	2.933	2.910666667	0.021	0.958333333	42.875	1	0
38	2.9106666	2.888333333	0.021	0.958333333	43.83333333	1	0
39	2.888333333	2.866	0.021	0.958333333	44.79166667	1	0
40	2.866	2.844	0.021	0.968333333	45.75	1	0
41	2.844	2.822	0.021	0.968333333	46.71833333	1	0
42	2.822	2.8	0.021	0.968333333	47.68666667	1	0
43	2.8	2.8	0.22	0.11	48.655	1	-0.0995
44	2.8	2.8	0.22	0.11	48.765	1	-0.0995
45	2.8	2.787	0.021	0.981666667	48.875	1	0
46	2.787	2.774	0.021	0.981666667	49.85666667	1	0
47	2.774	2.761	0.021	0.981666667	50.83833333	1	0
48	2.761	2.748	0.019	0.971666667	51.82	1	0
49	2.748	2.735	0.019	0.971666667	52.79166667	1	0
50	2.735	2.722	0.019	0.971666667	53.76333333	1	0
51	2.722	2.709333333	0.018	0.971666667	54.735	1	0
52	2.70933333	2.696666666	0.018	0.971666667	55.70666667	1	0
53	2.696666667	2.684	0.018	0.971666667	56.67833333	1	0
54	2.684	2.671	0.017	0.973333333	57.65	1	0
55	2.671	2.658	0.017	0.973333333	58.62333333	1	0
56	2.658	2.645	0.017	0.973333333	59.59666667	1	0
57	2.645	2.632	0.016	0.973333333	60.57	1	0
58	2.632	2.619	0.016	0.973333333	61.54333333	1	0
59	2.619	2.606	0.016	0.973333333	62.51666667	1	0
60	2.606	2.593	0.016	0.973333333	63.49	1	0
61	2.593	2.58	0.016	0.973333333	64.46333333	1	0
62	2.58	2.567	0.016	0.973333333	65.43666667	1	0
63	2.567	2.554	0.016	0.973333333	66.41	1	0
64	2.554	2.541	0.016	0.973333333	67.38333333	1	0
65	2.541	2.528	0.016	0.973333333	68.35666667	1	0
66	2.528	2.515	0.016	0.975	69.33	1	0
67	2.515	2.502	0.016	0.975	70.305	1	0
68	2.502	2.489	0.016	0.975	71.28	1	0
69	2.489	2.476	0.016	0.975	72.255	1	0
70	2.476	2.463	0.016	0.975	73.23	1	0
71	2.463	2.45	0.016	0.975	74.205	1	0
72	2.45	2.4	0.016	0.806666667	75.18	1	0
73	2.4	2.35	0.016	0.806666667	75.98666667	1	0
74	2.35	2.3	0.016	0.806666667	76.79333333	1	0
75	2.3	2.3	0.123	0.25	77.6	1	-0.0535
76	2.3	0	0	77.85	77.85	0	0
