No	Z
1	0
2	0.2595
3	0.519
4	0.7785
5	1.038
6	1.2975
7	1.557
8	1.8165
9	2.076
10	2.3355
11	2.595
12	2.8545
13	3.114
14	3.3735
15	3.633
16	3.8925
17	4.152
18	4.4115
19	4.671
20	4.9305
21	5.19
22	5.4495
23	5.709
24	5.9685
25	6.228
26	6.4875
27	6.747
28	7.0065
29	7.266
30	7.5255
31	7.785
32	8.0445
33	8.304
34	8.5635
35	8.823
36	9.0825
37	9.342
38	9.6015
39	9.861
40	10.1205
41	10.38
42	10.6395
43	10.899
44	11.1585
45	11.418
46	11.6775
47	11.937
48	12.1965
49	12.456
50	12.7155
51	12.975
52	13.2345
53	13.494
54	13.7535
55	14.013
56	14.2725
57	14.532
58	14.7915
59	15.051
60	15.3105
61	15.57
62	15.8295
63	16.089
64	16.3485
65	16.608
66	16.8675
67	17.127
68	17.3865
69	17.646
70	17.9055
71	18.165
72	18.4245
73	18.684
74	18.9435
75	19.203
76	19.4625
77	19.722
78	19.9815
79	20.241
80	20.5005
81	20.76
82	21.0195
83	21.279
84	21.5385
85	21.798
86	22.0575
87	22.317
88	22.5765
89	22.836
90	23.0955
91	23.355
92	23.6145
93	23.874
94	24.1335
95	24.393
96	24.6525
97	24.912
98	25.1715
99	25.431
100	25.6905
101	25.95
102	26.2095
103	26.469
104	26.7285
105	26.988
106	27.2475
107	27.507
108	27.7665
109	28.026
110	28.2855
111	28.545
112	28.8045
113	29.064
114	29.3235
115	29.583
116	29.8425
117	30.102
118	30.3615
119	30.621
120	30.8805
121	31.14
122	31.3995
123	31.659
124	31.9185
125	32.178
126	32.4375
127	32.697
128	32.9565
129	33.216
130	33.4755
131	33.735
132	33.9945
133	34.254
134	34.5135
135	34.773
136	35.0325
137	35.292
138	35.5515
139	35.811
140	36.0705
141	36.33
142	36.5895
143	36.849
144	37.1085
145	37.368
146	37.6275
147	37.887
148	38.1465
149	38.406
150	38.6655
151	38.925
152	39.1845
153	39.444
154	39.7035
155	39.963
156	40.2225
157	40.482
158	40.7415
159	41.001
160	41.2605
161	41.52
162	41.7795
163	42.039
164	42.2985
165	42.558
166	42.8175
167	43.077
168	43.3365
169	43.596
170	43.8555
171	44.115
172	44.3745
173	44.634
174	44.8935
175	45.153
176	45.4125
177	45.672
178	45.9315
179	46.191
180	46.4505
181	46.71
182	46.9695
183	47.229
184	47.4885
185	47.748
186	48.0075
187	48.267
188	48.5265
189	48.786
190	49.0455
191	49.305
192	49.5645
193	49.824
194	50.0835
195	50.343
196	50.6025
197	50.862
198	51.1215
199	51.381
200	51.6405
201	51.9
202	52.1595
203	52.419
204	52.6785
205	52.938
206	53.1975
207	53.457
208	53.7165
209	53.976
210	54.2355
211	54.495
212	54.7545
213	55.014
214	55.2735
215	55.533
216	55.7925
217	56.052
218	56.3115
219	56.571
220	56.8305
221	57.09
222	57.3495
223	57.609
224	57.8685
225	58.128
226	58.3875
227	58.647
228	58.9065
229	59.166
230	59.4255
231	59.685
232	59.9445
233	60.204
234	60.4635
235	60.723
236	60.9825
237	61.242
238	61.5015
239	61.761
240	62.0205
241	62.28
242	62.5395
243	62.799
244	63.0585
245	63.318
246	63.5775
247	63.837
248	64.0965
249	64.356
250	64.6155
251	64.875
252	65.1345
253	65.394
254	65.6535
255	65.913
256	66.1725
257	66.432
258	66.6915
259	66.951
260	67.2105
261	67.47
262	67.7295
263	67.989
264	68.2485
265	68.508
266	68.7675
267	69.027
268	69.2865
269	69.546
270	69.8055
271	70.065
272	70.3245
273	70.584
274	70.8435
275	71.103
276	71.3625
277	71.622
278	71.8815
279	72.141
280	72.4005
281	72.66
282	72.9195
283	73.179
284	73.4385
285	73.698
286	73.9575
287	74.217
288	74.4765
289	74.736
290	74.9955
291	75.255
292	75.5145
293	75.774
294	76.0335
295	76.293
296	76.5525
297	76.812
298	77.0715
299	77.331
300	77.5905
301	77.85
